전화번호,도로명주소,Latitude,Longitude,사업장명
02-2235-1533,서울특별시 강서구 강서로62길 10,37.5628984,126.840429,차지우동물병원
3665-5982,서울특별시 강서구 강서로 333,37.5554718,126.8369299,박동물병원
02-414-0075,서울특별시 송파구 오금로 203,37.50814,127.1166612,페토피아종합동물병원
02-3427-6419,서울특별시 강동구 고덕로83길 32,37.5602761,127.1681898,피카소동물병원
02-358-1591,서울특별시 은평구 연서로29길 24,37.6196405,126.9177319,도그원동물의료센터
02-2065-7585,서울특별시 강서구 강서로 242,37.5471979,126.8368101,강서 더힐 동물병원
02-2636-7645,서울특별시 구로구 경인로 472,37.4979302,126.8710134,서울동물복지지원센터 동물병원(구로)
02-571-4478,서울특별시 강남구 논현로28길 37,37.4842541,127.0448668,대성동물약품병원
955-8400,서울특별시 도봉구 도봉로 875,37.6826755,127.0455403,도담동물병원
02-3412-0067,서울특별시 강남구 일원로 35,37.4906406,127.0812097,서경석동물병원
02-6956-7599,서울특별시 은평구 불광로 59,37.6123503,126.9317118,동물병원 움
02-2650-8275,서울특별시 양천구 목동서로 349,37.5174938,126.8654977,공원옆동물의료센터
2650-8275,서울특별시 양천구 목동서로 349,37.5174938,126.8654977,공원옆동물병원
849-6509,서울특별시 영등포구 신길로 168,37.5072076,126.9112295,우신종합동물병원
02-3280-8275,서울특별시 동작구 상도로 214,37.5050331,126.942383,유케어종합동물병원
02-525-3102,서울특별시 서초구 동작대로 36,37.4796737,126.9821564,VIP동물의료센터 서초동작점
974-0339,서울특별시 중랑구 동일로 899,37.6106647,127.0773901,홍상희동물병원
3917502,서울특별시 종로구 자하문로 305,37.5992803,126.9589824,올리브동물병원
"494-7582,",서울특별시 중랑구 망우로 247,37.5954352,127.08002,로얄동물메디컬센터
2651-1855,서울특별시 양천구 목동중앙본로 100,37.5444748,126.8708956,대현동물병원
02-6956-7502,서울특별시 중구 을지로38길 20,37.5658839,127.0033459,서울동물영상종양센터
802-2811,서울특별시 금천구 시흥대로 172,37.4495167,126.9033111,더조은 동물의료센터
02-545-8875,서울특별시 강남구 도산대로 537,37.5251955,127.052372,청담 고운 피부과 동물병원
02-904-1004,서울특별시 도봉구 도봉로 578,37.6562308,127.0397648,24시 딜라이트 동물의료센터
